 "   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr"
67 "   3.000   0.4291   0.00831   0.00277  -0.0184   0.3299   0.9935"
68 "   3.250   0.4659   0.00869   0.00286  -0.0207   0.2566   0.9968"
69 "   3.500   0.5018   0.00916   0.00300  -0.0228   0.1827   1.0000"
70 "   3.750   0.5210   0.00957   0.00319  -0.0213   0.1315   1.0000"
71 "   4.000   0.5408   0.00995   0.00341  -0.0199   0.0997   1.0000"
72 "   4.250   0.5613   0.01028   0.00366  -0.0185   0.0844   1.0000"
73 "   4.500   0.5823   0.01056   0.00393  -0.0171   0.0755   1.0000"
74 "   4.750   0.6022   0.01098   0.00431  -0.0156   0.0674   1.0000"
75 "   5.000   0.6238   0.01121   0.00461  -0.0143   0.0636   1.0000"
76 "   5.250   0.6446   0.01153   0.00494  -0.0130   0.0594   1.0000"
77 "   5.500   0.6628   0.01220   0.00562  -0.0111   0.0549   1.0000"
78 "   5.750   0.6847   0.01242   0.00590  -0.0099   0.0527   1.0000"
79 "   6.000   0.7060   0.01273   0.00625  -0.0086   0.0496   1.0000"
80 "   6.250   0.7270   0.01308   0.00661  -0.0072   0.0464   1.0000"
81 "   6.500   0.7443   0.01390   0.00748  -0.0053   0.0426   1.0000"
82 "   6.750   0.7669   0.01407   0.00772  -0.0042   0.0407   1.0000"
83 "   7.000   0.7885   0.01438   0.00808  -0.0030   0.0381   1.0000"
84 "   7.250   0.8099   0.01470   0.00843  -0.0018   0.0354   1.0000"
85 "   7.500   0.8255   0.01582   0.00959   0.0003   0.0319   1.0000"
86 "   7.750   0.8495   0.01580   0.00964   0.0011   0.0299   1.0000"
87 "   8.000   0.8722   0.01596   0.00985   0.0021   0.0269   1.0000"
88 "   8.250   0.8884   0.01695   0.01086   0.0040   0.0230   1.0000"
89 "   8.500   0.9127   0.01692   0.01089   0.0047   0.0209   1.0000"
90 "   8.750   0.9343   0.01724   0.01123   0.0058   0.0185   1.0000"
91 "   9.000   0.9476   0.01857   0.01263   0.0082   0.0160   1.0000"
92 "   9.250   0.9683   0.01901   0.01318   0.0094   0.0147   1.0000"
93 "   9.500   0.9872   0.01964   0.01389   0.0109   0.0133   1.0000"
94 "   9.750   1.0051   0.02033   0.01462   0.0124   0.0121   1.0000"
95 "  10.000   1.0138   0.02213   0.01660   0.0152   0.0108   1.0000"
96 "  10.250   1.0302   0.02299   0.01763   0.0169   0.0102   1.0000"
97 "  10.500   1.0455   0.02389   0.01866   0.0187   0.0096   1.0000"
98 "  10.750   1.0594   0.02488   0.01976   0.0206   0.0089   1.0000"
99 "  11.000   1.0708   0.02606   0.02108   0.0227   0.0086   1.0000"
100 "  11.250   1.0802   0.02733   0.02247   0.0250   0.0082   1.0000"
101 "  11.500   1.0836   0.02905   0.02435   0.0279   0.0079   1.0000"
102 "  11.750   1.0759   0.03134   0.02686   0.0321   0.0076   1.0000"
103 "  12.000   1.0573   0.03426   0.03007   0.0368   0.0075   1.0000"
104 "  12.250   1.0474   0.03678   0.03279   0.0394   0.0074   1.0000"
105 "  12.750   1.0188   0.04405   0.04050   0.0402   0.0073   1.0000"
106 "  13.000   0.9975   0.04994   0.04663   0.0372   0.0074   1.0000"
107 "  13.250   0.9841   0.05587   0.05273   0.0329   0.0074   1.0000"
108 "  13.500   0.9716   0.06249   0.05950   0.0278   0.0074   1.0000"
109 "  13.750   0.9556   0.07034   0.06750   0.0221   0.0075   1.0000"
110 "  14.000   0.9304   0.08038   0.07769   0.0154   0.0075   1.0000"
111 "  14.250   0.9222   0.08669   0.08407   0.0118   0.0077   1.0000"
112 "  14.500   0.8787   0.10107   0.09862   0.0040   0.0080   1.0000"
