alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
2.0,15.0,30.9,4.0,40.2,100000,0.7095,0.02004
2.75,12.0,30.0,4.0,40.0,100000,0.7611,0.01836
2.5,10.0,30.0,0.0,0.0,100000,0.3752,0.01291
-17.5,21.0,30.0,2.0,40.0,200000,-1.0778,0.06179
16.5,12.0,30.0,2.0,40.0,200000,1.126,0.11085
-1.0,12.0,29.9,1.0,40.0,50000,-0.0811,0.02094
10.5,24.0,30.0,0.0,0.0,1000000,0.9772,0.01488
7.25,12.2,22.5,0.0,0.0,100000,0.8006,0.02923
11.0,21.0,30.0,2.0,40.0,200000,1.185,0.02557
-4.75,8.0,29.9,2.0,40.0,200000,-0.3776,0.01848
5.5,18.0,30.0,0.0,0.0,50000,0.7626,0.03537
3.0,12.2,22.5,0.0,0.0,100000,0.431,0.01726
-8.75,18.0,30.0,4.0,40.0,50000,-0.3111,0.11827
4.0,15.0,30.9,4.0,40.2,1000000,0.9571,0.00816
-3.25,15.0,30.0,0.0,0.0,50000,-0.5463,0.02705
5.75,12.2,22.5,0.0,0.0,200000,0.6761,0.01686
11.75,12.0,30.0,2.0,40.0,100000,1.2761,0.05012
2.75,21.0,30.0,4.0,40.0,100000,0.8309,0.02665
9.75,21.0,30.0,2.0,40.0,200000,1.1316,0.02215
5.25,15.0,30.9,4.0,40.2,100000,1.0022,0.02291
19.0,12.0,30.1,6.0,39.6,1000000,1.6422,0.11196
16.25,18.0,30.0,2.0,40.0,200000,1.308,0.06352
-7.5,10.0,30.0,0.0,0.0,50000,-0.7809,0.04514
0.25,12.2,22.5,0.0,0.0,100000,0.0958,0.0162
-15.5,12.0,29.9,1.0,40.0,1000000,-1.3695,0.02957
8.75,8.0,30.0,0.0,0.0,100000,0.7192,0.08972
0.75,14.0,29.5,2.0,39.6,100000,0.4425,0.01705
12.0,15.0,30.0,2.0,40.0,50000,1.1535,0.0635
9.5,15.0,29.5,2.0,39.6,100000,1.1446,0.02711
16.25,15.0,29.5,2.0,39.6,1000000,1.5424,0.04289
11.0,15.0,30.0,0.0,0.0,100000,1.0768,0.04032
9.5,10.0,29.9,1.0,50.0,100000,1.0278,0.04797
-2.5,12.0,30.0,0.0,0.0,100000,-0.4137,0.01429
-10.0,15.0,30.0,0.0,0.0,50000,-0.9434,0.05517
-1.0,15.0,29.5,2.0,39.6,1000000,0.1348,0.00678
15.25,12.0,30.0,2.0,40.0,200000,1.267,0.07177
13.5,15.0,30.0,2.0,40.0,100000,1.3426,0.05114
-13.0,24.0,30.0,0.0,0.0,200000,-1.0993,0.03261
3.0,24.0,30.0,0.0,0.0,200000,0.2996,0.01572
-2.5,9.0,29.3,6.0,39.6,1000000,0.4184,0.00723
16.75,18.0,30.0,2.0,40.0,1000000,1.5077,0.04962
1.0,12.0,29.9,1.0,40.0,200000,0.3073,0.01014
-8.0,15.0,30.9,4.0,40.2,200000,-0.569,0.02541
7.5,8.0,30.0,1.0,40.0,100000,0.8712,0.03831
5.0,18.0,30.0,4.0,40.0,50000,0.3979,0.07783
-0.75,18.0,30.0,2.0,40.0,1000000,0.1614,0.00751
-5.0,12.2,22.5,0.0,0.0,1000000,-0.5567,0.00878
15.25,12.0,30.0,4.0,40.0,200000,1.4467,0.06514
4.75,9.0,29.3,6.0,39.6,200000,1.1689,0.01364
-3.0,8.0,29.9,2.0,40.0,50000,-0.2125,0.02182
0.75,15.0,30.0,2.0,40.0,50000,0.1449,0.03389
-6.0,15.0,30.0,0.0,0.0,100000,-0.7545,0.02012
1.5,18.0,30.0,4.0,40.0,100000,0.689,0.02159
-14.25,15.0,30.0,2.0,40.0,200000,-0.7945,0.07738
-9.5,15.0,30.0,0.0,0.0,1000000,-1.08,0.01402
-4.75,8.0,30.0,0.0,0.0,50000,-0.5262,0.02407
-8.25,21.0,30.0,4.0,40.0,200000,-0.4476,0.02306
12.75,15.0,30.0,2.0,40.0,50000,0.9696,0.09312
6.25,12.0,29.9,1.0,40.0,100000,0.8005,0.01834
14.25,18.0,30.0,4.0,40.0,100000,1.4507,0.05182
9.5,21.0,30.0,4.0,40.0,100000,1.2034,0.03893
8.25,12.0,30.1,6.0,39.6,100000,1.4526,0.03004
3.0,10.0,30.0,0.0,0.0,50000,0.386,0.0217
-6.0,10.0,29.9,1.0,50.0,100000,-0.5848,0.02523
-6.25,10.0,29.9,2.0,40.0,50000,-0.5216,0.0504
-16.25,24.0,30.0,0.0,0.0,1000000,-1.308,0.03832
-15.75,18.0,30.0,0.0,0.0,200000,-1.211,0.05068
-0.25,12.0,30.1,6.0,39.6,1000000,0.6183,0.00768
0.0,18.0,30.0,2.0,40.0,200000,0.2306,0.01214
8.0,8.0,30.0,0.0,0.0,1000000,0.8664,0.0138
3.25,8.0,30.0,1.0,40.0,200000,0.4962,0.00918
5.0,21.0,30.0,4.0,40.0,1000000,0.9564,0.00958
4.75,18.0,30.0,0.0,0.0,100000,0.7577,0.02172
18.0,15.0,30.0,2.0,40.0,200000,1.3365,0.08746
12.0,10.0,29.9,1.0,50.0,200000,1.0874,0.05764
3.75,8.0,30.0,1.0,40.0,100000,0.5535,0.01279
-7.25,12.0,30.0,2.0,40.0,50000,-0.5842,0.05855
-9.75,15.0,30.0,2.0,40.0,100000,-0.8258,0.04633
-14.0,21.0,30.0,4.0,40.0,200000,-1.0974,0.04133
13.75,14.0,29.5,2.0,39.6,100000,1.2977,0.05739
7.0,21.0,30.0,2.0,40.0,200000,1.0751,0.01873
-8.5,21.0,30.0,4.0,40.0,1000000,-0.4412,0.01099
7.75,18.0,30.0,4.0,40.0,100000,1.2104,0.02974
-7.75,24.0,30.0,0.0,0.0,1000000,-0.7589,0.01126
-0.75,9.0,30.9,0.0,0.0,100000,-0.0138,0.01323
0.75,12.0,30.0,4.0,40.0,50000,0.29,0.03575
9.0,12.0,30.1,6.0,39.6,1000000,1.5493,0.01405
-2.25,24.0,29.4,4.0,40.0,1000000,0.026,0.00977
17.25,12.2,22.5,0.0,0.0,1000000,1.558,0.03826
2.75,15.0,30.9,4.0,40.2,1000000,0.7821,0.00737
13.0,12.0,30.0,4.0,40.0,200000,1.3923,0.04629
-3.75,12.0,29.9,1.0,40.0,100000,-0.435,0.01623
11.5,15.0,30.0,0.0,0.0,1000000,1.2039,0.01704
5.5,18.0,30.0,0.0,0.0,1000000,0.5914,0.00877
0.25,21.0,30.0,0.0,0.0,100000,0.0304,0.02238
5.25,24.0,29.4,4.0,40.0,50000,0.0394,0.09961
9.75,21.0,30.0,2.0,40.0,50000,0.3838,0.12584
1.75,10.0,29.9,2.0,40.0,50000,0.2382,0.0263
-8.0,9.0,30.9,0.0,0.0,50000,-0.7681,0.05866
10.75,9.0,29.3,6.0,39.6,200000,1.3548,0.03846
7.25,15.0,30.9,4.0,40.2,200000,1.1814,0.01668
-3.0,11.0,29.5,2.5,39.6,100000,-0.3063,0.02054
3.75,9.0,30.9,0.0,0.0,50000,0.5026,0.01887
0.5,24.0,30.0,0.0,0.0,200000,0.0505,0.01504
12.75,21.0,30.0,2.0,40.0,1000000,1.3695,0.02234
-7.0,15.0,29.5,2.0,39.6,1000000,-0.5186,0.00994
-0.25,24.0,29.4,4.0,40.0,50000,-0.6095,0.06301
-6.75,10.0,29.9,1.0,50.0,1000000,-0.6783,0.01111
6.75,15.0,30.0,2.0,40.0,200000,0.9724,0.01518
-5.75,12.2,22.5,0.0,0.0,200000,-0.6762,0.01686
-19.25,18.0,30.0,4.0,40.0,1000000,-0.9652,0.08741
0.0,24.0,29.7,2.0,40.0,100000,-0.1672,0.02961
-1.5,24.0,30.0,0.0,0.0,1000000,-0.1564,0.00878
9.25,15.0,30.0,0.0,0.0,200000,0.9574,0.02216
-6.25,12.0,30.0,0.0,0.0,50000,-0.7105,0.02892
3.25,10.0,29.9,1.0,50.0,100000,0.5287,0.01372
9.25,10.0,30.0,0.0,0.0,200000,0.9325,0.03436
-4.5,24.0,29.7,2.0,40.0,1000000,-0.1556,0.00948
-15.25,9.0,30.9,0.0,0.0,1000000,-1.0914,0.07218
2.25,10.0,29.9,1.0,50.0,200000,0.4265,0.00909
-8.0,24.0,29.7,2.0,40.0,100000,-0.9253,0.03863
10.25,21.0,30.0,4.0,40.0,1000000,1.3966,0.01717
9.75,12.2,22.5,0.0,0.0,1000000,1.0816,0.01331
-6.75,10.0,29.9,2.0,40.0,1000000,-0.5195,0.01093
-18.5,15.0,29.5,2.0,39.6,1000000,-1.1662,0.07941
-3.0,12.0,30.0,2.0,40.0,50000,-0.3108,0.02326
-15.25,18.0,30.0,0.0,0.0,200000,-1.1863,0.04774
11.75,8.0,30.0,1.0,40.0,1000000,1.2844,0.02629
16.0,24.0,29.4,4.0,40.0,200000,1.3139,0.05688
-8.25,12.0,30.0,0.0,0.0,200000,-0.8689,0.02174
-12.0,15.0,30.0,0.0,0.0,1000000,-1.2357,0.01797
18.75,9.0,29.3,6.0,39.6,1000000,1.5229,0.11655
4.75,10.0,29.9,1.0,50.0,50000,0.6673,0.02306
6.25,10.0,30.0,0.0,0.0,100000,0.6789,0.02328
17.25,21.0,30.0,4.0,40.0,1000000,1.572,0.06666
-7.0,24.0,29.7,2.0,40.0,1000000,-0.2914,0.01024
-2.25,10.0,30.0,0.0,0.0,50000,-0.1029,0.02098
10.0,21.0,30.0,2.0,40.0,200000,1.1436,0.02276
-3.5,24.0,29.7,2.0,40.0,50000,-0.9503,0.04879
-17.25,21.0,30.0,0.0,0.0,200000,-1.1971,0.06218
-5.75,12.0,30.1,6.0,39.6,200000,-0.016,0.0291
-18.75,24.0,30.0,0.0,0.0,200000,-1.2059,0.07277
-3.5,15.0,30.0,0.0,0.0,50000,-0.5652,0.02701
7.25,8.0,29.9,2.0,40.0,50000,0.9498,0.03812
-5.5,15.0,30.9,4.0,40.2,100000,-0.4436,0.03322
3.5,15.0,30.9,4.0,40.2,100000,0.8556,0.02094
-1.0,15.0,30.0,2.0,40.0,1000000,0.1354,0.00678
-13.75,10.0,29.9,1.0,50.0,1000000,-1.2536,0.02882
-3.0,15.0,30.0,2.0,40.0,100000,-0.2362,0.02115
-2.5,12.0,30.1,6.0,39.6,100000,0.2394,0.02948
13.5,14.0,29.5,2.0,39.6,200000,1.2852,0.04309
9.75,15.0,30.0,2.0,40.0,100000,1.1492,0.02792
15.25,18.0,30.0,0.0,0.0,100000,1.0273,0.07564
-1.75,15.0,29.5,2.0,39.6,100000,-0.056,0.01974
3.0,14.0,29.5,2.0,39.6,50000,0.4365,0.03678
0.0,12.0,30.0,0.0,0.0,200000,0.0,0.0102
2.75,10.0,29.9,1.0,50.0,50000,0.3508,0.02545
2.0,12.0,29.9,1.0,40.0,200000,0.4375,0.01012
3.0,12.0,30.0,2.0,40.0,100000,0.6117,0.01576
11.0,9.0,29.3,6.0,39.6,200000,1.3528,0.04102
8.0,15.0,30.0,2.0,40.0,50000,1.0079,0.03996
1.5,12.0,30.1,6.0,39.6,100000,0.7706,0.02067
-18.75,21.0,30.0,0.0,0.0,200000,-1.2032,0.07853
0.25,24.0,29.4,4.0,40.0,100000,-0.1905,0.04134
3.75,14.0,29.5,2.0,39.6,200000,0.7137,0.0121
-9.75,9.0,30.9,0.0,0.0,100000,-0.6402,0.09783
-15.0,12.0,30.0,0.0,0.0,1000000,-1.3802,0.0316
11.75,9.0,29.3,6.0,39.6,1000000,1.5328,0.02838
8.5,10.0,29.9,1.0,50.0,100000,0.9697,0.03575
0.25,15.0,30.9,4.0,40.2,50000,0.0713,0.04141
3.75,21.0,30.0,4.0,40.0,100000,0.8504,0.02789
7.75,12.0,30.1,6.0,39.6,200000,1.4476,0.0181
8.75,15.0,30.9,4.0,40.2,200000,1.2523,0.01844
-8.75,12.0,30.1,6.0,39.6,100000,-0.3657,0.12392
11.75,12.0,29.9,1.0,40.0,200000,1.2031,0.03923
-2.25,24.0,30.0,0.0,0.0,1000000,-0.2339,0.00891
12.5,24.0,30.0,0.0,0.0,1000000,1.1952,0.02007
9.75,18.0,30.0,4.0,40.0,200000,1.3702,0.02181
7.5,15.0,30.0,0.0,0.0,200000,0.8626,0.01786
-9.0,8.0,30.0,0.0,0.0,50000,-0.5182,0.10159
10.25,12.0,29.9,1.0,40.0,100000,1.1076,0.04195
-1.5,15.0,30.9,4.0,40.2,50000,-0.2446,0.04041
-9.25,10.0,29.9,1.0,50.0,1000000,-0.9154,0.01401
6.75,10.0,30.0,0.0,0.0,200000,0.7276,0.01954
13.25,18.0,30.0,4.0,40.0,200000,1.457,0.03788
6.75,18.0,30.0,4.0,40.0,1000000,1.1735,0.01022
7.75,10.0,29.9,1.0,50.0,1000000,0.9512,0.01288
8.25,10.0,30.0,0.0,0.0,1000000,0.9039,0.01307
-3.5,12.0,30.0,0.0,0.0,200000,-0.4915,0.01134
0.5,15.0,30.0,0.0,0.0,100000,0.1126,0.01931
-0.5,10.0,29.9,1.0,50.0,1000000,0.0691,0.00515
-5.5,8.0,29.9,2.0,40.0,50000,-0.4465,0.04776
13.25,11.0,29.5,2.5,39.6,1000000,1.3835,0.02614
14.75,18.0,30.0,2.0,40.0,1000000,1.4784,0.03202
-3.25,21.0,30.0,0.0,0.0,1000000,-0.3483,0.00835
8.75,18.0,30.0,4.0,40.0,50000,0.5426,0.1204
0.5,9.0,29.3,6.0,39.6,200000,0.7269,0.01036
0.0,21.0,30.0,4.0,40.0,50000,-0.0908,0.05821
-10.5,10.0,29.9,2.0,40.0,1000000,-0.9489,0.01659
-5.75,15.0,29.5,2.0,39.6,100000,-0.6254,0.02483
-7.75,12.2,22.5,0.0,0.0,1000000,-0.903,0.01113
-5.75,15.0,30.0,0.0,0.0,1000000,-0.6153,0.00894
0.0,12.0,30.0,0.0,0.0,100000,0.0,0.01693
6.25,24.0,29.4,4.0,40.0,50000,0.0908,0.10598
8.0,10.0,30.0,0.0,0.0,1000000,0.8794,0.01281
-14.75,21.0,30.0,2.0,40.0,200000,-1.0694,0.04008
1.25,8.0,30.0,0.0,0.0,1000000,0.1252,0.00472
-14.5,10.0,29.9,1.0,50.0,1000000,-1.2567,0.03434
19.0,15.0,29.5,2.0,39.6,200000,1.2592,0.11193
-6.25,10.0,29.9,2.0,40.0,100000,-0.5374,0.0336
-1.5,12.0,29.9,1.0,40.0,1000000,-0.0405,0.00586
15.0,12.0,30.0,4.0,40.0,100000,1.4201,0.07667
0.0,18.0,30.0,4.0,40.0,100000,0.3721,0.02229
-8.75,12.0,30.0,4.0,40.0,1000000,-0.4769,0.01285
10.0,14.0,29.5,2.0,39.6,200000,1.1575,0.02361
6.25,9.0,29.3,6.0,39.6,1000000,1.3071,0.00905
10.5,14.0,29.5,2.0,39.6,1000000,1.2998,0.01612
-11.0,14.0,29.5,2.0,39.6,1000000,-1.0047,0.01601
14.25,24.0,30.0,0.0,0.0,1000000,1.2456,0.0261
2.0,11.0,29.5,2.5,39.6,200000,0.5947,0.00986
-16.5,21.0,30.0,0.0,0.0,200000,-1.1937,0.05462
7.25,11.0,29.5,2.5,39.6,1000000,1.0386,0.01159
-11.0,18.0,30.0,2.0,40.0,100000,-0.9777,0.04461
8.5,12.0,30.0,4.0,40.0,200000,1.311,0.01772
-14.0,12.2,22.5,0.0,0.0,1000000,-1.4505,0.02087
-3.5,10.0,29.9,1.0,50.0,200000,-0.3667,0.01193
-12.5,12.0,29.9,1.0,40.0,1000000,-1.198,0.01998
3.75,24.0,30.0,0.0,0.0,50000,0.5768,0.06081
6.75,8.0,30.0,0.0,0.0,200000,0.7152,0.0246
-6.5,12.0,29.9,1.0,40.0,200000,-0.6676,0.01838
-6.25,18.0,30.0,2.0,40.0,50000,-0.7338,0.04225
-9.5,12.0,30.0,0.0,0.0,200000,-0.9692,0.02734
-6.0,12.0,30.0,2.0,40.0,1000000,-0.4073,0.00939
17.25,24.0,30.0,0.0,0.0,200000,1.1878,0.05912
-7.0,18.0,30.0,4.0,40.0,100000,-0.5336,0.03698
0.75,10.0,30.0,0.0,0.0,1000000,0.0786,0.00478
10.75,15.0,30.0,2.0,40.0,200000,1.1849,0.02609
17.0,12.0,29.9,1.0,40.0,1000000,1.5124,0.04836
2.25,14.0,29.5,2.0,39.6,1000000,0.4823,0.0063
2.0,9.0,30.9,0.0,0.0,100000,0.2783,0.01363
13.25,15.0,30.0,2.0,40.0,1000000,1.4418,0.02432
-1.25,10.0,30.0,0.0,0.0,200000,-0.2491,0.00928
4.75,10.0,29.9,2.0,40.0,1000000,0.7625,0.0081
15.75,15.0,29.5,2.0,39.6,200000,1.3256,0.06052
-5.0,12.0,30.0,2.0,40.0,1000000,-0.3006,0.00836
-8.0,18.0,30.0,2.0,40.0,50000,-0.7806,0.05452
-16.75,24.0,30.0,0.0,0.0,1000000,-1.3191,0.04225
-5.0,15.0,30.0,2.0,40.0,200000,-0.3739,0.01642
-3.75,24.0,30.0,0.0,0.0,200000,-0.3759,0.01624
-10.5,8.0,30.0,1.0,40.0,50000,-0.4586,0.12283
14.75,15.0,30.0,0.0,0.0,200000,1.194,0.05186
-3.5,10.0,30.0,0.0,0.0,50000,-0.4692,0.02063
8.25,14.0,29.5,2.0,39.6,1000000,1.1184,0.01231
-13.25,10.0,29.9,2.0,40.0,1000000,-1.137,0.02706
0.25,9.0,29.3,6.0,39.6,100000,0.6039,0.0198
4.0,10.0,29.9,2.0,40.0,100000,0.698,0.01518
9.25,12.2,22.5,0.0,0.0,100000,0.9335,0.04232
3.25,10.0,30.0,0.0,0.0,100000,0.4382,0.0131
-10.0,12.0,29.9,1.0,40.0,1000000,-1.0036,0.01535
-8.5,21.0,30.0,2.0,40.0,1000000,-0.66,0.01126
-5.0,14.0,29.5,2.0,39.6,200000,-0.3955,0.01638
-2.0,10.0,29.9,2.0,40.0,200000,-0.0338,0.01076
9.5,8.0,29.9,2.0,40.0,100000,0.9576,0.05509
0.0,12.2,22.5,0.0,0.0,200000,0.0,0.00961
6.5,10.0,29.9,1.0,50.0,50000,0.7889,0.02874
3.5,8.0,29.9,2.0,40.0,200000,0.627,0.0096
3.0,24.0,29.4,4.0,40.0,1000000,0.4285,0.0104
4.25,24.0,29.4,4.0,40.0,1000000,0.5541,0.01087
8.25,10.0,29.9,2.0,40.0,1000000,1.105,0.01375
5.75,8.0,30.0,0.0,0.0,1000000,0.6417,0.00997
0.25,15.0,30.9,4.0,40.2,200000,0.5482,0.01162
18.25,21.0,30.0,0.0,0.0,200000,1.2021,0.07314
9.0,18.0,30.0,2.0,40.0,1000000,1.1688,0.01273
15.5,14.0,29.5,2.0,39.6,100000,1.1761,0.08894
5.5,21.0,30.0,2.0,40.0,50000,0.3237,0.07303
2.25,9.0,30.9,0.0,0.0,200000,0.4002,0.00918
8.75,18.0,30.0,0.0,0.0,1000000,0.9377,0.0122
13.5,11.0,29.5,2.5,39.6,100000,1.1408,0.07512
4.75,12.0,30.0,0.0,0.0,1000000,0.5213,0.00816
4.75,24.0,30.0,0.0,0.0,50000,0.7817,0.05869
-3.0,21.0,30.0,0.0,0.0,100000,-0.4038,0.02461
-3.25,21.0,30.0,4.0,40.0,50000,-0.3772,0.05318
-9.25,11.0,29.5,2.5,39.6,100000,-0.412,0.09791
4.25,12.0,30.0,4.0,40.0,50000,0.6464,0.04992
-11.0,9.0,30.9,0.0,0.0,1000000,-1.1227,0.0202
-8.0,15.0,30.9,4.0,40.2,100000,-0.6853,0.05725
-12.5,24.0,29.7,2.0,40.0,1000000,-0.859,0.01777
-6.25,15.0,29.5,2.0,39.6,50000,-0.653,0.03884
-0.25,24.0,29.7,2.0,40.0,200000,0.1345,0.0153
5.25,8.0,29.9,2.0,40.0,100000,0.7906,0.01535
2.0,8.0,30.0,0.0,0.0,50000,0.1326,0.01677
8.25,12.0,30.0,0.0,0.0,200000,0.869,0.02173
-6.75,24.0,29.7,2.0,40.0,1000000,-0.2752,0.01015
-15.0,15.0,30.0,0.0,0.0,1000000,-1.3622,0.02981
-0.5,18.0,30.0,2.0,40.0,1000000,0.1885,0.00747
-4.75,18.0,30.0,4.0,40.0,100000,-0.2312,0.03045
-15.75,15.0,30.0,0.0,0.0,200000,-1.126,0.0687
10.25,12.0,29.9,1.0,40.0,50000,0.9926,0.06524
10.75,12.0,30.0,0.0,0.0,100000,0.9917,0.05469
-17.0,10.0,30.0,0.0,0.0,1000000,-1.1984,0.09402
-2.25,8.0,30.0,1.0,40.0,200000,-0.2091,0.00903
-3.5,18.0,30.0,0.0,0.0,1000000,-0.3802,0.00773
5.75,15.0,30.0,0.0,0.0,200000,0.7483,0.01512
3.75,14.0,29.5,2.0,39.6,100000,0.7061,0.01752
-13.0,11.0,29.5,2.5,39.6,1000000,-1.0286,0.02954
-5.0,15.0,30.0,0.0,0.0,200000,-0.692,0.01442
1.5,21.0,30.0,4.0,40.0,1000000,0.6183,0.0088
6.25,10.0,29.9,2.0,40.0,50000,0.8928,0.02559
-6.5,10.0,30.0,0.0,0.0,50000,-0.7086,0.03364
14.75,12.0,30.0,2.0,40.0,200000,1.3035,0.06249
7.5,9.0,29.3,6.0,39.6,100000,1.4006,0.02394
-7.5,21.0,30.0,2.0,40.0,100000,-0.8124,0.03251
16.0,21.0,30.0,0.0,0.0,1000000,1.3609,0.03402
-0.5,12.0,29.9,1.0,40.0,200000,0.0614,0.01017
0.0,12.0,30.0,4.0,40.0,100000,0.4335,0.01835
4.25,10.0,29.9,1.0,50.0,100000,0.6188,0.01439
-9.75,15.0,29.5,2.0,39.6,200000,-0.9185,0.02753
-0.5,24.0,30.0,0.0,0.0,100000,-0.0592,0.02491
0.75,18.0,30.0,2.0,40.0,100000,0.3058,0.02118
10.75,14.0,29.5,2.0,39.6,1000000,1.3165,0.01661
10.75,15.0,30.0,0.0,0.0,1000000,1.1554,0.01579
-4.25,21.0,30.0,0.0,0.0,50000,-0.7645,0.04213
7.75,12.2,22.5,0.0,0.0,1000000,0.9028,0.01113
-5.75,15.0,30.9,4.0,40.2,50000,-0.5787,0.06647
-4.75,18.0,30.0,4.0,40.0,1000000,-0.0407,0.00876
10.5,15.0,30.0,2.0,40.0,200000,1.1756,0.02496
1.75,12.2,22.5,0.0,0.0,50000,0.3335,0.01987
8.75,18.0,30.0,0.0,0.0,200000,0.9902,0.02066
7.75,12.0,29.9,1.0,40.0,200000,0.9147,0.01924
-7.75,15.0,30.0,2.0,40.0,50000,-0.692,0.0531
12.0,15.0,30.9,4.0,40.2,100000,1.3741,0.03442
9.0,9.0,30.9,0.0,0.0,200000,0.8815,0.03543
-6.5,12.2,22.5,0.0,0.0,200000,-0.7414,0.01809
5.5,21.0,30.0,0.0,0.0,50000,0.8155,0.04398
-6.75,18.0,30.0,4.0,40.0,100000,-0.5064,0.03611
-19.75,24.0,29.7,2.0,40.0,1000000,-1.1479,0.07195
10.5,15.0,30.0,0.0,0.0,1000000,1.1405,0.01538
18.5,21.0,30.0,2.0,40.0,1000000,1.4737,0.07034
-3.75,12.0,30.1,6.0,39.6,1000000,0.2476,0.00807
7.5,18.0,30.0,4.0,40.0,200000,1.2392,0.01849
-0.25,18.0,30.0,2.0,40.0,200000,0.2039,0.01214
-8.0,12.2,22.5,0.0,0.0,100000,-0.8597,0.03283
10.5,18.0,30.0,2.0,40.0,200000,1.1825,0.0234
5.5,12.0,30.0,2.0,40.0,100000,0.8503,0.0176
2.25,15.0,30.0,0.0,0.0,1000000,0.245,0.0066
5.25,21.0,30.0,0.0,0.0,100000,0.7627,0.02622
15.0,14.0,29.5,2.0,39.6,1000000,1.5256,0.03282
-0.75,21.0,30.0,4.0,40.0,1000000,0.3864,0.00889
-3.0,10.0,29.9,2.0,40.0,50000,-0.2564,0.02157
-19.5,21.0,30.0,2.0,40.0,1000000,-1.2117,0.06993
-8.75,18.0,30.0,2.0,40.0,1000000,-0.6982,0.01147
-4.0,15.0,29.5,2.0,39.6,200000,-0.2213,0.0148
14.5,10.0,29.9,1.0,50.0,1000000,1.4477,0.03132
-7.75,24.0,30.0,0.0,0.0,100000,-1.0619,0.03259
6.0,14.0,29.5,2.0,39.6,100000,0.9066,0.01957
2.25,10.0,30.0,0.0,0.0,200000,0.3373,0.00923
5.0,9.0,29.3,6.0,39.6,100000,1.1512,0.02252
8.25,11.0,29.5,2.5,39.6,200000,1.0502,0.01944
-3.25,8.0,30.0,0.0,0.0,200000,-0.395,0.00962
-9.25,15.0,30.9,4.0,40.2,1000000,-0.4913,0.01211
3.75,12.0,29.9,1.0,40.0,50000,0.5547,0.02742
-8.5,8.0,30.0,1.0,40.0,1000000,-0.8176,0.01483
15.75,12.0,30.1,6.0,39.6,200000,1.4575,0.08666
9.25,12.0,29.9,1.0,40.0,50000,1.0073,0.04921
16.0,15.0,29.5,2.0,39.6,1000000,1.5382,0.04068
17.25,11.0,29.5,2.5,39.6,1000000,1.3855,0.06826
11.5,10.0,29.9,2.0,40.0,100000,1.1497,0.06782
0.0,8.0,30.0,0.0,0.0,100000,0.0,0.01124
1.5,21.0,30.0,4.0,40.0,100000,0.5319,0.02643
9.0,9.0,30.9,0.0,0.0,100000,0.8155,0.05629
6.0,15.0,30.9,4.0,40.2,1000000,1.0903,0.00915
9.0,9.0,30.9,0.0,0.0,50000,0.5669,0.10116
-5.25,8.0,30.0,1.0,40.0,100000,-0.4911,0.02498
9.0,15.0,30.0,0.0,0.0,50000,0.9132,0.04547
4.5,10.0,29.9,1.0,50.0,50000,0.6424,0.02346
7.25,15.0,30.9,4.0,40.2,1000000,1.1745,0.01014
6.25,12.2,22.5,0.0,0.0,100000,0.716,0.02561
-1.0,21.0,30.0,2.0,40.0,50000,-0.2862,0.0462
-1.5,14.0,29.5,2.0,39.6,50000,-0.2877,0.02559
-9.0,21.0,30.0,4.0,40.0,100000,-0.7619,0.04391
7.5,10.0,29.9,2.0,40.0,1000000,1.031,0.01275
-3.75,15.0,30.9,4.0,40.2,1000000,0.067,0.00793
-11.25,15.0,30.0,2.0,40.0,200000,-0.9739,0.03517
-10.5,12.0,30.0,2.0,40.0,1000000,-0.9766,0.01657
-1.25,10.0,30.0,0.0,0.0,100000,-0.1443,0.01402
-1.25,12.0,30.0,2.0,40.0,1000000,0.1092,0.00616
16.0,15.0,30.9,4.0,40.2,200000,1.3767,0.06013
-5.0,8.0,29.9,2.0,40.0,200000,-0.4003,0.01933
-7.5,18.0,30.0,2.0,40.0,200000,-0.6691,0.02091
15.5,15.0,30.0,2.0,40.0,200000,1.3593,0.05587
-8.75,10.0,30.0,0.0,0.0,100000,-0.8624,0.04631
10.0,12.2,22.5,0.0,0.0,200000,1.0422,0.02736
-7.25,12.0,30.0,0.0,0.0,200000,-0.7919,0.01844
-11.25,12.0,29.9,1.0,40.0,1000000,-1.0982,0.01757
-1.25,15.0,30.0,2.0,40.0,50000,-0.2914,0.02846
6.5,10.0,29.9,1.0,50.0,100000,0.7867,0.02202
-7.25,21.0,30.0,4.0,40.0,50000,-0.6061,0.09793
-8.25,21.0,30.0,0.0,0.0,100000,-1.051,0.0291
13.5,15.0,30.0,0.0,0.0,200000,1.176,0.04113
2.25,18.0,30.0,2.0,40.0,50000,0.2947,0.04556
0.0,12.0,30.0,2.0,40.0,1000000,0.2442,0.00568
-13.0,18.0,30.0,0.0,0.0,1000000,-1.2663,0.01942
0.75,18.0,30.0,2.0,40.0,1000000,0.3235,0.00736
-11.5,21.0,30.0,4.0,40.0,100000,-0.7343,0.07273
-1.25,15.0,30.9,4.0,40.2,50000,-0.2077,0.04046
10.25,15.0,30.9,4.0,40.2,100000,1.3355,0.02914
-3.25,12.0,30.0,2.0,40.0,1000000,-0.11,0.00719
3.0,15.0,30.0,0.0,0.0,50000,0.5298,0.02694
-8.25,12.2,22.5,0.0,0.0,50000,-0.6936,0.07253
-3.25,12.0,29.9,1.0,40.0,50000,-0.4103,0.02127
