alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
5.0,8.0,30.0,1.0,40.0,200000,0.6462,0.01497
14.75,18.0,30.0,0.0,0.0,100000,1.1193,0.06216
2.0,15.0,29.5,2.0,39.6,50000,0.2833,0.03711
4.75,12.2,22.5,0.0,0.0,200000,0.5898,0.0154
-2.25,11.0,29.5,2.5,39.6,50000,-0.2708,0.02395
15.75,12.0,30.0,4.0,40.0,1000000,1.6666,0.04589
-9.25,10.0,30.0,0.0,0.0,1000000,-1.0006,0.01448
13.5,12.0,30.0,4.0,40.0,50000,1.3181,0.08256
-9.5,11.0,29.5,2.5,39.6,200000,-0.467,0.08689
-0.25,24.0,30.0,0.0,0.0,1000000,-0.0262,0.0087
-3.75,8.0,29.9,2.0,40.0,50000,-0.2883,0.02626
-1.75,12.2,22.5,0.0,0.0,50000,-0.3335,0.01987
3.25,8.0,29.9,2.0,40.0,1000000,0.5883,0.00746
-7.25,8.0,29.9,2.0,40.0,1000000,-0.6271,0.01262
4.75,12.2,22.5,0.0,0.0,50000,0.5894,0.02944
11.75,12.0,30.0,4.0,40.0,1000000,1.5369,0.02199
-9.25,15.0,29.5,2.0,39.6,100000,-0.8361,0.04057
-10.5,15.0,30.0,0.0,0.0,50000,-0.8851,0.06475
-6.25,18.0,30.0,0.0,0.0,50000,-0.8007,0.0371
13.5,24.0,29.4,4.0,40.0,200000,1.3066,0.03889
15.0,21.0,30.0,2.0,40.0,1000000,1.4596,0.03413
-4.75,11.0,29.5,2.5,39.6,100000,-0.4735,0.0251
-0.25,12.2,22.5,0.0,0.0,100000,-0.0958,0.0162
-4.0,18.0,30.0,4.0,40.0,50000,-0.4378,0.04762
3.25,11.0,29.5,2.5,39.6,1000000,0.7209,0.00649
11.5,8.0,30.0,1.0,40.0,200000,0.7859,0.1271
10.0,11.0,29.5,2.5,39.6,1000000,1.2374,0.01605
9.25,12.0,29.9,1.0,40.0,100000,1.0363,0.03417
3.5,11.0,29.5,2.5,39.6,1000000,0.7424,0.00663
10.25,21.0,30.0,4.0,40.0,100000,1.2641,0.03972
11.0,10.0,29.9,2.0,40.0,50000,0.96,0.08957
5.75,12.2,22.5,0.0,0.0,1000000,0.6636,0.00945
10.25,24.0,29.4,4.0,40.0,50000,0.2627,0.13689
1.5,24.0,29.7,2.0,40.0,1000000,0.1719,0.00921
-2.75,15.0,30.0,0.0,0.0,50000,-0.5069,0.02726
12.0,12.0,30.0,2.0,40.0,200000,1.2809,0.03736
7.25,10.0,29.9,1.0,50.0,50000,0.8626,0.03522
-6.0,15.0,30.0,2.0,40.0,50000,-0.6358,0.03738
-3.5,12.0,30.0,4.0,40.0,100000,-0.0916,0.02579
7.75,15.0,30.0,2.0,40.0,100000,1.0504,0.0225
-2.75,18.0,30.0,0.0,0.0,1000000,-0.2992,0.0075
8.5,15.0,30.0,0.0,0.0,1000000,0.972,0.01255
-9.0,12.0,29.9,1.0,40.0,1000000,-0.924,0.01426
5.5,24.0,30.0,0.0,0.0,50000,0.6049,0.0729
2.5,10.0,29.9,1.0,50.0,100000,0.4581,0.01369
14.5,9.0,29.3,6.0,39.6,1000000,1.5584,0.05228
1.25,15.0,30.9,4.0,40.2,100000,0.6411,0.01975
5.0,21.0,30.0,4.0,40.0,50000,0.1837,0.09049
-8.0,11.0,29.5,2.5,39.6,200000,-0.6901,0.03621
-0.75,24.0,29.7,2.0,40.0,100000,-0.2794,0.03132
3.75,9.0,30.9,0.0,0.0,200000,0.5066,0.01123
-13.25,12.0,30.0,0.0,0.0,1000000,-1.3149,0.02343
0.0,8.0,29.9,2.0,40.0,200000,0.245,0.00911
-0.25,18.0,30.0,4.0,40.0,50000,0.0023,0.04763
1.25,21.0,30.0,4.0,40.0,200000,0.5789,0.01463
7.0,10.0,29.9,1.0,50.0,50000,0.8385,0.03299
-1.75,10.0,30.0,0.0,0.0,50000,-0.058,0.0194
4.5,10.0,29.9,2.0,40.0,1000000,0.7383,0.00767
-10.5,12.0,30.0,2.0,40.0,200000,-0.7222,0.05571
4.0,9.0,30.9,0.0,0.0,100000,0.5197,0.01424
-6.5,18.0,30.0,2.0,40.0,100000,-0.7348,0.02824
3.0,9.0,30.9,0.0,0.0,100000,0.451,0.01247
7.0,21.0,30.0,2.0,40.0,1000000,0.9357,0.01049
-10.25,24.0,30.0,0.0,0.0,1000000,-0.9568,0.01442
8.5,8.0,29.9,2.0,40.0,200000,1.0575,0.03378
-2.0,9.0,30.9,0.0,0.0,1000000,-0.2245,0.00552
8.0,15.0,29.5,2.0,39.6,1000000,1.1013,0.01167
4.5,24.0,29.4,4.0,40.0,100000,1.0338,0.03352
-12.75,12.2,22.5,0.0,0.0,1000000,-1.3542,0.01801
-7.0,14.0,29.5,2.0,39.6,50000,-0.6613,0.04554
-0.25,21.0,30.0,2.0,40.0,1000000,0.2115,0.00819
13.0,18.0,30.0,4.0,40.0,200000,1.4546,0.03604
-3.75,14.0,29.5,2.0,39.6,200000,-0.2077,0.01438
2.5,15.0,30.0,2.0,40.0,200000,0.6263,0.01203
-5.0,15.0,30.0,2.0,40.0,1000000,-0.304,0.00839
-2.0,12.0,30.1,6.0,39.6,1000000,0.4346,0.00766
-0.25,18.0,30.0,2.0,40.0,100000,0.1472,0.02095
2.25,10.0,30.0,0.0,0.0,1000000,0.2347,0.00573
-12.5,21.0,30.0,0.0,0.0,200000,-1.0895,0.03011
10.5,18.0,30.0,2.0,40.0,1000000,1.2678,0.01543
-12.25,15.0,30.0,0.0,0.0,1000000,-1.2479,0.01854
6.5,21.0,30.0,4.0,40.0,1000000,1.1119,0.01082
14.25,12.0,30.0,4.0,40.0,100000,1.4783,0.06519
6.25,18.0,30.0,4.0,40.0,1000000,1.1316,0.00978
-5.5,18.0,30.0,2.0,40.0,50000,-0.6935,0.0385
11.25,9.0,29.3,6.0,39.6,100000,1.3266,0.04929
12.75,21.0,30.0,2.0,40.0,100000,1.2694,0.04128
14.25,18.0,30.0,2.0,40.0,1000000,1.4633,0.02888
7.5,10.0,30.0,0.0,0.0,200000,0.7953,0.02328
-10.5,15.0,29.5,2.0,39.6,100000,-0.8179,0.05276
-8.25,12.0,30.0,4.0,40.0,50000,-0.338,0.10368
2.5,24.0,29.4,4.0,40.0,100000,0.3643,0.03547
11.25,21.0,30.0,2.0,40.0,1000000,1.2823,0.01762
18.75,21.0,30.0,0.0,0.0,1000000,1.3688,0.06336
6.25,12.0,30.0,0.0,0.0,200000,0.7161,0.01577
-3.25,12.2,22.5,0.0,0.0,50000,-0.4582,0.02327
-2.75,18.0,30.0,0.0,0.0,200000,-0.294,0.01331
-2.25,12.0,30.0,2.0,40.0,200000,-0.0238,0.01158
-7.0,24.0,29.4,4.0,40.0,1000000,-0.2218,0.01038
-4.5,18.0,30.0,0.0,0.0,50000,-0.7125,0.03338
-8.75,8.0,30.0,1.0,40.0,100000,-0.6405,0.0957
-3.0,21.0,30.0,2.0,40.0,100000,-0.2017,0.02582
-1.25,14.0,29.5,2.0,39.6,200000,0.0953,0.0108
9.0,24.0,29.4,4.0,40.0,1000000,1.1816,0.01748
9.0,24.0,30.0,0.0,0.0,1000000,0.8649,0.01257
6.5,10.0,30.0,0.0,0.0,200000,0.7041,0.01891
7.75,8.0,30.0,0.0,0.0,100000,0.7636,0.05433
-15.25,12.0,30.0,0.0,0.0,1000000,-1.3854,0.03348
17.75,21.0,30.0,4.0,40.0,200000,1.4463,0.08223
-14.25,15.0,30.0,0.0,0.0,1000000,-1.3476,0.02486
15.0,18.0,30.0,2.0,40.0,100000,1.3163,0.05651
